"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Own a Chicken Store Today",45-54,male,"On-Facebook leads",2,3.1496063,0.39370078740157,97.54,48.77,1.430985915493,192.00787402,508,16,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra",45-54,male,,,0.20661157,,65.08,,1.6575342465753,134.46280992,484,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",25-34,female,,,0.63291139,,51.71,,3.0384615384615,109.092827,474,3,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",25-34,female,"On-Facebook leads",2,3.44827586,0.43103448275862,80.19,40.095,1.9016393442623,172.82327586,464,16,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",55-64,male,"On-Facebook leads",1,2.5862069,0.21551724137931,84.387108188497,84.387108188497,1.7846153846154,181.86876765,464,12,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",35-44,male,"On-Facebook leads",1,1.48148148,0.24691358024691,66.21,66.21,1.5882352941176,163.48148148,405,6,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",55-64,male,"On-Facebook leads",1,3.45679012,0.24691358024691,37.66,37.66,2.025,92.98765432,405,14,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",45-54,male,"On-Facebook leads",1,2.83286119,0.28328611898017,50.61,50.61,1.9720670391061,143.37110482,353,10,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",55-64,male,"On-Facebook leads",1,4.11764706,0.29411764705882,43,43,1.9540229885057,126.47058824,340,14,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",25-34,female,"On-Facebook leads",1,4.17910448,0.29850746268657,52.51,52.51,2.3928571428571,156.74626866,335,14,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",35-44,female,"On-Facebook leads",2,4.10094637,0.63091482649842,59.827949791655,29.913974895828,1.686170212766,188.73170281,317,13,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",35-44,male,"On-Facebook leads",2,4.93421053,0.65789473684211,47.43,23.715,1.2827004219409,156.01973684,304,15,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",35-44,female,"On-Facebook leads",2,3.87323944,0.70422535211268,55.09,27.545,1.775,193.97887324,284,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-Minimum Investment & Maximum Profit",35-44,female,"On-Facebook leads",2,3.38345865,0.75187969924812,48.79,24.395,1.546511627907,183.42105263,266,9,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Minimum Investment & Maximum Profit",65+,male,,,0.37593985,,20.01,,3.0227272727273,75.22556391,266,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",65+,male,,,1.13636364,,44.03,,2.5384615384615,166.78030303,264,3,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Housewives,"Image-No. 1 Franchise Opportunity",45-54,female,,,2.74509804,,39.4,,2.1074380165289,154.50980392,255,7,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",35-44,female,,,1.65975104,,34.97,,2.1517857142857,145.10373444,241,4,2019-11-01,2019-12-03
